url_id,firm_id,url,main,display_rr,verified,verifiedon,note,url_type_id,verifyresult,verifystatus,addinfo,createdon,modifiedon,url_status_id,domain
83,149,https://www.youtube.com/watch?t=27&v=zb5MSYRT_pk,False,True,True,2018-07-02 15:58:22.667,YouTube Video,4,,,,,2018-07-02 15:58:22.663,1.0,youtube.com
84,154,http://www.bluecrossmn.com,True,True,True,2019-06-20 16:20:26.843,,1,,,,,2019-06-20 16:20:26.587,1.0,bluecrossmn.com
85,155,http://www.beltmann.com,True,True,True,2018-05-03 10:18:49.7,,1,,,,,2018-05-03 10:18:49.96,1.0,beltmann.com
86,155,http://www.facebook.com/BeltmannRelocation,False,True,True,2018-05-03 10:18:56.48,,2,,,,,2018-05-03 10:18:56.74,1.0,facebook.com
87,155,http://twitter.com/beltmanngroup,False,True,True,2018-05-03 10:18:52.763,,3,,,,,2018-05-03 10:18:53.017,1.0,twitter.com
89,157,http://www.btaapartments.com,True,True,False,,,1,,,,,,,btaapartments.com
90,159,http://www.browncollege.edu,False,True,False,,,1,,,,,,,browncollege.edu
91,159,http://www.sanfordbrown.edu,True,True,False,,,1,,,,,,,sanfordbrown.edu
92,163,https://www.rbhonda.com,True,True,True,2019-03-19 14:49:00.907,,1,,,,,2019-03-19 14:49:00.767,1.0,rbhonda.com
93,163,https://www.facebook.com/RichfieldBloomingtonHonda,False,True,True,2019-03-19 14:49:07.783,,2,,,,,2019-03-19 14:49:07.633,1.0,facebook.com
94,163,https://twitter.com/rbhonda,False,True,False,,,3,,,,,2019-03-19 14:49:10.587,1.0,twitter.com
95,163,https://plus.google.com/u/0/101341587337255851302/posts,False,True,False,,,6,,,,,,,google.com
97,165,https://www.superiorford.com,True,True,True,2018-08-29 11:22:19.317,,1,,,,,2018-08-29 11:22:19.383,1.0,superiorford.com
99,167,http://www.cbburnet.com,True,True,True,2020-04-22 13:41:56.99,,1,,,,,2020-04-22 13:41:57.02,1.0,cbburnet.com
101,168,http://lundsandbyerlys.com/,True,True,False,,,1,,,,,2017-12-01 16:47:37.467,,lundsandbyerlys.com
102,169,http://www.invergroveford.com,True,True,True,2020-06-23 16:48:06.32,,1,,,,,2020-06-23 16:48:06.36,1.0,invergroveford.com
103,179,https://www.barnettauto.com/,True,True,True,2023-10-23 11:38:55.92,,1,,,,,2023-10-23 11:38:55.883,1.0,barnettauto.com
104,184,http://www.brambillasinc.com,True,True,True,2019-02-26 12:08:46.747,,1,,,,,2019-02-26 12:08:46.513,1.0,brambillasinc.com
105,184,http://www.facebook.com/pages/Brambillas-Inc/191042452283,False,True,True,2019-02-26 12:08:55.513,,2,,,,,2019-02-26 12:08:55.277,1.0,facebook.com
108,185,http://www.broadwayrental.com,False,True,False,,,1,,,,,,,broadwayrental.com
109,187,http://www.blainestatebank.com,True,True,False,,infoUSA insert,1,,,,,,,blainestatebank.com
110,188,http://www.republicservices.com,True,True,True,2018-07-18 17:44:42.54,,1,,,,,2018-07-18 17:44:42.197,1.0,republicservices.com
111,190,http://www.beisselwindows.com,False,True,True,2018-09-05 11:28:26.49,,1,,,,,2018-09-05 11:28:26.41,1.0,beisselwindows.com
112,190,http://www.facebook.com/BeisselWindows,False,True,True,2018-09-05 11:28:29.383,,2,,,,,2018-09-05 11:28:29.3,1.0,facebook.com
113,190,http://twitter.com/BeisselWindows,False,True,True,2018-09-05 11:28:23.99,,3,,,,,2018-09-05 11:28:23.92,1.0,twitter.com
114,194,http://www.iverhcarlson.com,True,True,False,,,1,,,,,,,iverhcarlson.com
116,198,http://www.centralinsulation.net,True,True,True,2018-06-11 11:21:12.46,,1,,,,,2018-06-11 11:21:12.557,1.0,centralinsulation.net
117,201,http://www.culliganredwing.com,True,True,False,,,1,,,,,,,culliganredwing.com
118,202,http://www.carlson.com,False,False,False,,,1,,,,,2021-09-30 16:06:54.68,3.0,carlson.com
119,202,http://www.goldpoints.com,False,False,False,,,1,,,,,2021-09-30 16:07:03.083,3.0,goldpoints.com
120,207,http://www.cdsdoor.com,True,True,True,2018-07-26 17:03:06.323,,1,,,,,2018-07-26 17:03:06.503,1.0,cdsdoor.com
122,209,http://www.cub.com,True,True,True,2018-10-02 09:18:47.16,,1,,,,,2018-10-02 09:18:47.457,1.0,cub.com
123,211,http://www.commerceexpressinc.com,True,True,False,,,1,,,,,,,commerceexpressinc.com
124,212,http://www.campustravelmn.com,True,False,False,,infoUSA insert,1,,,,,2019-01-23 10:07:24.077,3.0,campustravelmn.com
125,214,http://www.centraire.com,True,True,False,,,1,,,,,,,centraire.com
126,216,http://www.custompoolsinc.com,True,True,True,2019-02-14 09:44:36.46,,1,,,,,2019-02-14 09:44:36.73,1.0,custompoolsinc.com
