name_id,firm_id,company_name,condensed_name,main,billing,display_rr,roster,note,legal
77,71,Advance Equipment Company,advanceequipmentcompany,False,False,True,True,,False
78,71,Advance Shoring Company,advanceshoringcompany,True,True,True,True,,True
79,71,Advance Specialties Company,advancespecialtiescompany,False,False,True,True,,False
80,71,"Advance Equipment, Shoring & Specialties Company",advanceequipmentshoringandspecialtiescompany,False,False,False,False,,False
81,72,Aladdin Pools Inc,aladdinpoolsinc,False,False,True,True,,True
82,72,Aladdin Pool and Spa,aladdinpoolandspa,True,True,True,True,,True
83,73,"Andersen Cabinet, Inc.",andersencabinetinc,True,True,True,True,,True
84,74,Apollo Hair Clinic,apollohairclinic,True,True,True,True,,True
85,74,Apollo of Minneapolis,apolloofminneapolis,False,False,False,False,,False
86,75,Asphalt Driveway Company of St Paul,asphaltdrivewaycompanyofstpaul,False,False,False,False,,False
87,75,Asphalt Driveway Co.,asphaltdrivewayco,True,True,True,True,,True
88,77,Augsburg Fortress Publishers,augsburgfortresspublishers,True,True,True,True,,True
89,78,Art Materials Inc,artmaterialsinc,True,True,True,True,,False
90,78,Penco Graphic Supply/Artist's,pencographicsupplyartists,False,False,True,True,,False
91,78,Penco Artists' Supply Warehouse,pencoartistssupplywarehouse,False,False,True,True,,False
92,78,"Art Materials, LLC",artmaterialsllc,False,False,True,True,,True
93,79,Acordia,acordia,False,False,False,False,,False
94,79,"Acordia of Minnesota, Inc.",acordiaofminnesotainc,False,False,False,False,,False
95,79,Wells Fargo Insurance Services,wellsfargoinsuranceservices,True,True,True,True,,True
96,79,Wells Fargo Insurance Service,wellsfargoinsuranceservice,False,False,True,True,infoUSA insert,False
97,81,Anderson Automotive Inc,andersonautomotiveinc,False,False,True,True,,True
98,81,Maxi Auto Center,maxiautocenter,True,True,True,True,,False
102,84,Brausen Enterprises Inc,brausenenterprisesinc,True,True,True,True,,True
110,86,Associated Leasing/Handicapable Van,associatedleasinghandicapablevan,False,False,False,False,,False
111,86,Associated Partnership Ltd,associatedpartnershipltd,False,False,False,True,,True
112,86,Associated Rollx Vans,associatedrollxvans,False,False,False,False,,False
113,86,Rollx Vans,rollxvans,True,True,True,True,,True
125,94,Associated Hearing,associatedhearing,False,False,False,False,,False
126,94,Associated Hearing Instruments,associatedhearinginstruments,False,False,False,False,,False
127,94,Associated Hearing of Saint Paul,associatedhearingofsaintpaul,False,False,False,False,,False
128,94,"Associated Hearing of St. Paul, Inc.",associatedhearingofstpaulinc,True,True,True,True,,True
129,95,"Affordable Automotive, Inc.",affordableautomotiveinc,True,True,True,True,,True
