address_id_a,firm_id,address_type_id,address_1,address_2,city,state,zip,zip_4,display_rr,hours_of_operation,fips,verified,verifiedon,modifiedon,createdon,note,name_id,address_status_id,lng,lat,verified_geo,precision_geo,use_geo,country,geocodedate,google_place_id
21,30,2,5910 Rice Creek Pkwy STE 700,,Shoreview,MN,55126,5023,TRUE,,27123,TRUE,45:08.2,55:14.0,55:14.0,,,1,93.1834259,45.12034988,TRUE,ROOFTOP,FALSE,USA,11:12.5,EjE1OTEwIFJpY2UgQ3JlZWsgUGt3eSAjNzAwLCBTdCBQYXVsLCBNTiA1NTEyNiwgVVNBIh8aHQoWChQKEgkBJhrJEyazUhH0D70szqpLSBIDNzAw
22,30,2,1 Town Center Rd,,Boca Raton,FL,33486,1002,FALSE,,12099,TRUE,32:46.9,55:14.0,55:14.0,,,1,80.12760925,26.36362457,FALSE,,FALSE,USA,45:06.2,
23,30,2,14200 E Exposition Ave Stop 2,Accounts Payable-,Aurora,CO,80012,2540,FALSE,,8005,TRUE,32:47.0,55:14.0,55:14.0,Returned,,5,104.8232727,39.70387268,FALSE,,FALSE,USA,45:06.2,
24,30,2,14200 E. Exposition Ave.,,Aurora,CO,80012,2540,FALSE,,8005,TRUE,32:47.0,55:14.0,55:14.0,,,1,104.8232727,39.70387268,FALSE,,FALSE,USA,45:06.2,
25,30,2,PO Box 310700,,Boca Raton,FL,33431,700,FALSE,,12099,TRUE,32:47.1,55:14.0,55:14.0,,,1,80.1073166,26.3761909,FALSE,,FALSE,USA,13:53.5,
26,30,2,4411 Beacon Cir Ste 4,,West Palm Beach,FL,33407,3270,FALSE,,12099,TRUE,32:47.1,56:16.4,55:14.0,,,1,80.08557892,26.75463676,FALSE,,FALSE,USA,45:06.2,
27,31,2,6131 Blue Circle Dr,,Eden Prairie,MN,55343,9108,TRUE,,27053,TRUE,45:08.3,03:38.8,55:14.0,,,1,93.40749359,44.89076614,TRUE,ROOFTOP,FALSE,USA,11:12.7,ChIJP0wo-Ogh9ocRHUauPGoHmjs
28,31,2,PO Box 9462,,Minneapolis,MN,55440,9462,TRUE,,27053,TRUE,32:47.2,09:34.0,55:14.0,,,1,93.2708,44.98616,FALSE,,FALSE,USA,13:53.5,
29,31,2,PO Box 9436,,Minneapolis,MN,55440,9436,TRUE,,27053,TRUE,32:47.3,09:44.3,55:14.0,,,1,93.2708,44.98616,FALSE,,FALSE,USA,13:53.5,
31,32,2,3009 37th Ave NE,,St Anthony,MN,55421,4301,TRUE,,27123,TRUE,32:47.4,55:14.0,55:14.0,,,1,93.21716309,45.03572845,FALSE,,FALSE,USA,45:06.2,
32,33,2,3800 W Broadway Ave,,Minneapolis,MN,55422,2208,TRUE,,27053,TRUE,32:47.5,55:14.0,55:14.0,,,1,93.33115387,45.0243187,FALSE,,FALSE,USA,45:06.2,
34,34,2,6600 France Ave S Ste 164,,Minneapolis,MN,55435,1802,TRUE,,27053,TRUE,32:47.6,22:37.3,55:14.0,,,1,93.32907867,44.88085556,FALSE,,FALSE,USA,45:06.2,
35,34,2,84 S 9th St,,Minneapolis,MN,55402,,TRUE,,27053,FALSE,32:47.6,22:40.0,55:14.0,,,1,93.27320862,44.97469711,FALSE,,FALSE,USA,45:06.2,
38,36,2,PO Box 298,,Shakopee,MN,55379,298,FALSE,,27139,TRUE,32:47.7,52:19.4,55:14.0,,,3,93.5261065,44.7435067,FALSE,,FALSE,USA,13:53.5,
188,168,2,2303 Palmer Dr,,Saint Paul,MN,55112,2463,FALSE,,27123,FALSE,32:55.3,55:14.0,55:14.0,,,1,93.21710205,45.06763077,FALSE,,FALSE,USA,45:06.8,
39,36,2,1725 3rd Ave W,,Shakopee,MN,55379,1018,TRUE,,27139,TRUE,32:47.8,51:37.7,55:14.0,,,1,93.54906464,44.79220963,FALSE,,FALSE,USA,45:06.2,
40,36,2,6834 11th Ave SW,PO Box 1024,Rochester,MN,55902,2500,FALSE,,27109,TRUE,32:48.0,52:10.2,55:14.0,,,1,92.4785614,43.92356873,FALSE,,FALSE,USA,45:06.2,
41,37,2,339 8th St NW,,Saint Paul,MN,55112,2745,TRUE,,27123,TRUE,32:48.1,55:14.0,55:14.0,,,1,93.19149017,45.06279373,FALSE,,FALSE,USA,45:06.2,
42,43,2,5428 Nicollet Ave,,Minneapolis,MN,55419,1928,FALSE,,27053,FALSE,32:48.2,55:14.0,55:14.0,Returned: old address,,5,93.27812195,44.9045639,FALSE,,FALSE,USA,45:06.2,
43,43,2,6045 Pillsbury Ave S,,Minneapolis,MN,55419,2328,FALSE,,27053,TRUE,32:48.2,55:14.0,55:14.0,Returned: old address,,5,93.2819519,44.89277267,FALSE,,FALSE,USA,45:06.2,
44,43,2,7701 Pillsbury Ave S,,Minneapolis,MN,55423,4121,FALSE,,27053,TRUE,32:48.3,30:30.6,55:14.0,,,3,93.28205872,44.86352158,FALSE,,FALSE,USA,45:06.2,
45,46,2,1908 Chicago Ave,,Minneapolis,MN,55404,1928,FALSE,,27053,TRUE,32:48.4,55:14.0,55:14.0,Former,,3,93.26255035,44.96374893,FALSE,,FALSE,USA,45:06.2,
49,49,2,521 W 90th St,,Bloomington,MN,55420,3515,TRUE,,27053,TRUE,32:48.5,55:14.0,55:14.0,,,1,93.28713226,44.84072113,FALSE,,FALSE,USA,45:06.2,
50,50,2,7400 Wayzata Blvd,,Golden Valley,MN,55426,1673,TRUE,,27053,TRUE,32:48.6,13:53.4,55:14.0,,,1,93.37496948,44.97166824,FALSE,,FALSE,USA,45:06.2,
52,51,2,PO Box 24258,,Minneapolis,MN,55424,258,TRUE,,27053,TRUE,32:48.7,55:14.0,55:14.0,,,1,93.3448337,44.9050259,FALSE,,FALSE,USA,13:53.5,
53,51,2,5621 Knox Ave S,,Minneapolis,MN,55419,1505,TRUE,,27053,TRUE,32:48.7,55:14.0,55:14.0,,,1,93.3022995,44.90082932,FALSE,,FALSE,USA,45:06.2,
54,53,2,2904 E 35th St,,Minneapolis,MN,55406,2605,TRUE,,27053,TRUE,32:48.8,55:14.0,55:14.0,,,1,93.23031616,44.93955231,FALSE,,FALSE,USA,45:06.2,
55,54,2,121 County Road C E,,Little Canada,MN,55117,1350,TRUE,,27123,TRUE,32:48.9,55:14.0,55:14.0,,,1,93.09619141,45.02336502,FALSE,,FALSE,USA,45:06.2,
56,54,2,1960 Cliff Lake Rd Ste 126,,Eagan,MN,55122,2439,FALSE,,27037,TRUE,32:49.0,55:14.0,55:14.0,OLD INFO,,1,93.20624542,44.79378891,FALSE,,FALSE,USA,45:06.2,
58,58,2,1251 Washington Ave N,,Minneapolis,MN,55401,1036,TRUE,,27053,TRUE,8/31/11 11:47,03:56.3,55:14.0,,,5,93.28131866,44.99162292,FALSE,,FALSE,USA,45:06.2,
59,60,2,2222 Highway 10,,Mounds View,MN,55112,2491,FALSE,,27123,TRUE,6/16/15 10:01,55:14.0,55:14.0,Former,,3,93.19508362,45.09669876,FALSE,,FALSE,USA,45:06.2,
61,61,2,7510 Jackson St NE,,Minneapolis,MN,55432,3211,FALSE,,27003,TRUE,32:49.1,55:14.0,55:14.0,,,1,93.25146484,45.10481644,FALSE,,FALSE,USA,45:06.2,
62,61,2,7600 Highway 65 NE,,Fridley,MN,55432,3574,TRUE,,27003,TRUE,32:49.2,54:56.2,55:14.0,,,1,93.24385834,45.10661697,FALSE,,FALSE,USA,45:06.2,
63,67,2,400 Highway 169 S Ste 800,,Minneapolis,MN,55426,1141,TRUE,,27053,TRUE,45:08.3,23:07.2,55:14.0,,,1,93.40170288,44.97637558,TRUE,ROOFTOP,FALSE,USA,11:12.9,Eis0MDAgVVMtMTY5ICM4MDAsIE1pbm5lYXBvbGlzLCBNTiA1NTQyNiwgVVNBIh8aHQoWChQKEglJ7m3HEjWzUhE3IUCiVfZeNhIDODAw
65,70,2,516 W Franklin Ave,,Minneapolis,MN,55405,3147,TRUE,,27053,TRUE,32:49.3,55:14.0,55:14.0,,,1,93.28565216,44.96269989,FALSE,,FALSE,USA,45:06.2,
66,70,2,PO Box 16293,,St Louis Park,MN,55416,293,TRUE,,27053,TRUE,32:49.4,52:01.3,55:14.0,Mailing,,1,93.3409886,44.9511826,FALSE,,FALSE,USA,13:53.5,
67,71,2,1400 Jackson St,,Saint Paul,MN,55117,4693,TRUE,,27123,TRUE,32:49.4,55:14.0,55:14.0,,,1,93.0963974,44.98203278,FALSE,,FALSE,USA,45:06.2,
68,72,2,3901 Central Ave NE,,Minneapolis,MN,55421,3932,TRUE,,27003,TRUE,30:36.7,30:36.7,55:14.0,,,1,93.24720764,45.03824997,FALSE,,FALSE,USA,45:06.2,
70,73,2,2500 Charles St N,,Saint Paul,MN,55109,3038,TRUE,,27123,TRUE,32:49.5,55:14.0,55:14.0,,,1,92.98965454,45.01756287,FALSE,,FALSE,USA,45:06.2,
71,74,2,4820 Minnetonka Blvd Ste 101,,Saint Louis Park,MN,55416,2278,TRUE,,27053,TRUE,32:49.7,46:34.1,55:14.0,,,1,93.34130859,44.94868469,TRUE,ROOFTOP,FALSE,USA,46:34.5,ChIJcT3EAKsg9ocRB3llTtJsL_s
73,77,2,PO Box 1209,,Minneapolis,MN,55440,1209,TRUE,,27053,TRUE,32:49.7,55:14.0,55:14.0,,,1,93.2708,44.98616,FALSE,,FALSE,USA,13:53.5,
74,77,2,510 Marquette Ave 8th Floor,,Minneapolis,MN,55402,1110,TRUE,,27053,TRUE,32:49.8,55:14.0,55:14.0,,,1,93.26953888,44.97795486,FALSE,,FALSE,USA,45:06.2,
75,77,2,426 South St,,Minneapolis,MN,55440,,FALSE,,27053,FALSE,32:49.9,55:14.0,55:14.0,(OLD INFO),,1,93.2708,44.98616,FALSE,,FALSE,USA,,
76,77,2,100 S 5th St Ste 600,,Minneapolis,MN,55402,1242,FALSE,,27053,TRUE,32:50.0,55:14.0,55:14.0,(OLD INFO),,1,93.26869965,44.97800827,FALSE,,FALSE,USA,45:06.2,
77,78,2,2728 Lyndale Ave S,,Minneapolis,MN,55408,1301,TRUE,,27053,TRUE,32:50.1,55:14.0,55:14.0,,,1,93.28805542,44.95322418,FALSE,,FALSE,USA,45:06.2,
78,78,2,718 Washington Ave N Ste 100,,Minneapolis,MN,55401,1296,TRUE,,27053,TRUE,32:50.2,01:57.3,55:14.0,,,1,93.27748108,44.98806763,FALSE,,FALSE,USA,45:06.2,
80,79,2,7701 York Ave S Ste 200,,Minneapolis,MN,55435,5831,FALSE,,27053,TRUE,32:50.3,55:14.0,55:14.0,,,1,93.32054138,44.86358261,FALSE,,FALSE,USA,45:06.2,
81,79,2,4300 Market Pointe Dr Ste 600,,Bloomington,MN,55435,5455,FALSE,,27053,TRUE,32:50.4,55:14.0,55:14.0,,,1,93.33512878,44.86122894,FALSE,,FALSE,USA,45:06.2,
82,79,2,4300 Market Pointe Dr # 600,,Minneapolis,MN,55435,5455,TRUE,,27053,TRUE,32:50.5,55:14.0,55:14.0,infoUSA insert,,1,93.33512878,44.86122894,FALSE,,FALSE,USA,45:06.2,
83,81,2,2803 Central Ave NE,,Minneapolis,MN,55418,2951,TRUE,,27053,TRUE,8/31/11 11:47,55:14.0,55:14.0,,,1,93.24728394,45.01865768,FALSE,,FALSE,USA,45:06.2,
84,84,2,1310 County Road E W,,Arden Hills,MN,55112,3737,TRUE,,27123,TRUE,32:50.6,47:33.1,55:14.0,,,1,93.20454407,45.05037689,TRUE,RANGE_INTERPOLATED,FALSE,USA,47:33.8,Ei0xMzEwIENvdW50eSBSZCBFLCBOZXcgQnJpZ2h0b24sIE1OIDU1MTEyLCBVU0EiMRIvChQKEgltG13owC6zUhFLHwle0ftuYRCeCioUChIJWSz2eOsus1IRb9tJBEw-LQA
85,84,2,5979 Rice Creek Pkwy,,Shoreview,MN,55126,5021,FALSE,,27123,TRUE,32:50.6,47:53.0,55:14.0,,,3,93.18429565,45.12318039,FALSE,,FALSE,USA,45:06.2,
86,86,2,6591 Highway 13 W,,Savage,MN,55378,1177,TRUE,,27139,TRUE,32:50.7,55:14.0,55:14.0,,,1,93.36685181,44.77777863,FALSE,,FALSE,USA,45:06.2,
