firm_id,active,purge,member_status_id,member_status,member_cat_id,member_cat,application_signed,bbb_rr_url,bbir_status_id,bbir_status,business_type_id,business_type,do_not_mail,number_of_employees,number_of_locations,scope_id,scope_text,date_application_signed,date_established,state_established,date_incorporated,state_incorporated,date_joined_bbb,date_license_checked,date_standards_returned,date_file_opened,mip_status,mip_status-2,mip_date_start,mip_date_delete,outofbusiness_status,outofbusiness_status-2,outofbusiness_date,outofbusiness_status_change,deleted_date,lastupdate,termination_pending,termination_date,termination_active,hq,date_business_start,number_of_customers,annual_revenue,modifiedon,modifiedby,parent_id,date_expire,number_of_parttime,hq_type_id,deleted_pending,deleted_pending_date,date_newowner,rating_pattern,rating_pattern_date,branch_id,createdon,createdby,ischarity,number_of_seasonal,naics,public_company,establishment_type_id,tax_exempt
78,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,6.0,Limited Liability Company (LLC),False,20,1,0.0,,,1956-11-01 00:00:00,MN,,,1984-03-29 00:00:00,,,1984-03-01 00:00:00,2,No,,,,,,,1998-08-18 00:00:00,2001-12-27 00:00:00,False,,False,False,1956-11-01 00:00:00,0.0,2000000.0,2016-09-23 11:53:02.923,5675.0,,,0.0,,False,,,False,,,,,False,0.0,451120.0,False,,
8003,False,False,19,Twin Cities Metro,1,Not Accredited,False,,,,,,True,72,1,,,,1929-01-01 00:00:00,,,,,,,1973-07-01 00:00:00,2,No,,,1.0,Confirmed to be Out of Business,2016-06-03 00:00:00,,2002-05-13 00:00:00,2002-05-28 00:00:00,False,,False,False,1929-01-01 00:00:00,,0.0,2019-06-09 09:54:27.32,4870.0,,,,,False,,,False,,,,,False,,221121.0,False,,
79,True,False,19,Twin Cities Metro,1,Not Accredited,False,,4.0,BP Sent,0.0,,False,230,1,0.0,,,1953-01-01 00:00:00,MN,,,2000-03-22 00:00:00,,,1974-06-01 00:00:00,2,No,,,,,,,2001-07-02 00:00:00,2013-09-21 00:00:00,False,,False,False,1953-01-01 00:00:00,0.0,6500000.0,2018-10-01 15:02:09.47,7860.0,,,0.0,,False,,,False,,,,,False,0.0,524210.0,False,0.0,
81,False,False,19,Twin Cities Metro,1,Not Accredited,False,,,,0.0,,True,5,1,0.0,,,1963-07-01 00:00:00,MN,,,1984-11-27 00:00:00,,,1984-11-01 00:00:00,2,No,,,2.0,Believed to be Out of Business,2017-06-13 00:00:00,2017-06-05 16:09:00.657,2003-03-19 00:00:00,2002-02-06 00:00:00,False,,False,False,1963-07-01 00:00:00,0.0,160000.0,2020-06-14 09:55:43.223,7860.0,,,0.0,,False,,,False,,,,,False,0.0,811111.0,False,0.0,
84,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,1.0,Corporation,False,20,1,0.0,,,1977-10-24 00:00:00,MN,1977-10-24 00:00:00,MN,2018-11-15 00:00:00,,,1981-12-01 00:00:00,2,No,,,,,,,2021-03-31 00:00:00,2018-11-14 09:36:33.613,False,,False,False,1977-10-24 00:00:00,,7200000.0,2021-03-31 11:37:23.763,6472.0,,,,,False,,,False,,,,,False,,811111.0,False,0.0,
86,True,False,19,Twin Cities Metro,3,Accredited Business,False,,1.0,Returned,5.0,Private Limited Company by Shares (LTD),False,100,1,0.0,,,1977-07-06 00:00:00,MN,1977-07-06 00:00:00,MN,2015-01-16 00:00:00,,,1977-07-06 00:00:00,2,No,,,,,,,,2015-01-08 00:00:00,False,,False,False,1977-07-06 00:00:00,49999.0,40000000.0,2022-10-14 11:09:54.667,9310.0,,,,,False,,,False,,,,,False,,811121.0,False,0.0,
94,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,6.0,Limited Liability Company (LLC),False,4,1,0.0,,,1982-06-01 00:00:00,MN,2015-08-02 00:00:00,MN,2016-06-03 00:00:00,,,1982-06-01 00:00:00,2,No,,,,,,,2018-10-04 00:00:00,2016-06-03 11:41:17.663,False,,False,False,1982-06-01 00:00:00,1.0,430000.0,2018-10-04 14:56:11.67,7638.0,,,0.0,,False,,2015-08-02 00:00:00,False,,,,,False,0.0,621340.0,False,,
95,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,1.0,Corporation,False,6,1,0.0,,,1981-01-01 00:00:00,MN,1987-08-11 00:00:00,,1982-07-12 00:00:00,,,1982-07-01 00:00:00,2,No,,,,,,,2019-11-12 00:00:00,2002-06-25 00:00:00,False,,False,False,1981-01-01 00:00:00,0.0,340000.0,2019-11-12 09:32:01.487,4880.0,,,0.0,,False,,,False,,,,,False,0.0,811111.0,False,0.0,
96,True,False,19,Twin Cities Metro,3,Accredited Business,False,,1.0,Returned,1.0,Corporation,False,30,1,0.0,,,1970-05-01 00:00:00,MN,1970-05-01 00:00:00,MN,1982-07-06 00:00:00,,,1972-06-01 00:00:00,2,No,,,,,,,,2002-06-10 00:00:00,False,,False,False,1970-05-01 00:00:00,50000.0,2757894.0,2022-01-31 16:17:53.943,,,,0.0,,False,,,False,,,,,False,0.0,,False,0.0,
97,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,1.0,Corporation,False,20,1,0.0,,,1980-01-16 00:00:00,MN,,,2016-08-25 00:00:00,,,1982-07-01 00:00:00,2,No,,,,,,,2021-05-26 00:00:00,2016-08-25 13:35:53.343,False,,False,False,1980-01-16 00:00:00,3000.0,3400000.0,2021-05-26 13:57:43.743,4880.0,,,0.0,,False,,,False,,,,,False,0.0,541690.0,False,,
